Seconds,Minutes,PSI 1,PSI 2
318,5.3,346,173
319,5.32,347,174
320,5.33,349,173
321,5.35,350,172
322,5.37,347,173
323,5.38,348,173
324,5.4,349,173
325,5.42,347,173
326,5.43,346,176
327,5.45,341,175
328,5.47,340,176
329,5.48,346,177
330,5.5,349,176
331,5.52,354,179
332,5.53,352,180
333,5.55,358,179
334,5.57,359,179
335,5.58,365,183
336,5.6,360,181
337,5.62,355,179
338,5.63,361,180
339,5.65,357,181
340,5.67,351,182
341,5.68,349,185
342,5.7,367,186
343,5.72,366,185
344,5.73,369,185
345,5.75,359,185
346,5.77,363,185
347,5.78,363,185
348,5.8,367,186
349,5.82,369,187
350,5.83,364,189
351,5.85,360,192
352,5.87,359,189
353,5.88,358,188
354,5.9,359,188
355,5.92,359,189
356,5.93,357,191
357,5.95,353,191
358,5.97,364,191
359,5.98,366,193
360,6,364,192
361,6.02,368,194
362,6.03,375,198
363,6.05,370,197
364,6.07,360,197
365,6.08,364,196
366,6.1,363,196
367,6.12,367,199
368,6.13,367,198
369,6.15,373,197
370,6.17,379,199
371,6.18,381,200
372,6.2,376,199
373,6.22,377,199
374,6.23,377,199
375,6.25,382,203
376,6.27,383,204
377,6.28,386,203
378,6.3,381,202
379,6.32,381,203
380,6.33,379,208
381,6.35,384,211
382,6.37,393,215
383,6.38,392,213
384,6.4,390,212
385,6.42,391,209
386,6.43,391,211
387,6.45,384,211
388,6.47,383,212
389,6.48,390,215
390,6.5,388,213
391,6.52,388,212
392,6.53,392,214
393,6.55,391,216
394,6.57,390,216
395,6.58,388,216
396,6.6,390,217
397,6.62,391,218
398,6.63,394,219
399,6.65,392,220
400,6.67,394,221
401,6.68,395,220
402,6.7,397,220
403,6.72,398,223
404,6.73,398,224
405,6.75,402,225
406,6.77,398,222
407,6.78,398,226
408,6.8,403,224
409,6.82,403,228
410,6.83,405,229
411,6.85,399,225
412,6.87,401,227
413,6.88,402,230
414,6.9,406,232
415,6.92,405,231
416,6.93,405,232
417,6.95,407,235
418,6.97,410,234
419,6.98,411,235
420,7,409,234
421,7.02,410,234
422,7.03,413,237
423,7.05,413,238
424,7.07,412,239
425,7.08,414,238
426,7.1,412,238
427,7.12,416,242
428,7.13,418,241
429,7.15,422,242
430,7.17,425,243
431,7.18,421,245
432,7.2,420,244
433,7.22,423,245
434,7.23,422,248
435,7.25,423,245
436,7.27,419,246
437,7.28,424,247
438,7.3,423,246
439,7.32,422,248
440,7.33,421,248
441,7.35,421,246
442,7.37,426,249
443,7.38,430,253
444,7.4,423,251
445,7.42,429,256
446,7.43,433,256
447,7.45,433,255
448,7.47,431,257
449,7.48,438,259
450,7.5,436,260
451,7.52,436,260
452,7.53,443,260
453,7.55,440,258
454,7.57,444,261
455,7.58,441,259
456,7.6,429,263
457,7.62,432,261
458,7.63,432,262
459,7.65,442,264
460,7.67,438,268
461,7.68,434,265
462,7.7,433,268
463,7.72,438,270
464,7.73,434,270
465,7.75,434,271
466,7.77,431,271
467,7.78,436,268
468,7.8,449,272
469,7.82,449,273
470,7.83,449,277
471,7.85,457,279
472,7.87,455,279
473,7.88,456,280
474,7.9,450,283
475,7.92,452,281
476,7.93,455,285
477,7.95,460,282
478,7.97,467,279
479,7.98,470,284
480,8,472,286
481,8.02,474,289
482,8.03,473,288
483,8.05,473,294
484,8.07,473,294
485,8.08,471,293
486,8.1,466,294
487,8.12,465,290
488,8.13,461,293
489,8.15,475,298
490,8.17,482,301
491,8.18,481,298
492,8.2,478,297
493,8.22,477,301
494,8.23,476,302
495,8.25,473,303
496,8.27,477,302
497,8.28,480,304
498,8.3,489,306
499,8.32,493,308
500,8.33,490,309
501,8.35,492,308
502,8.37,487,305
503,8.38,488,307
504,8.4,486,306
505,8.42,486,309
506,8.43,484,312
507,8.45,489,315
508,8.47,488,315
509,8.48,494,315
510,8.5,497,317
511,8.52,501,320
512,8.53,498,319
513,8.55,503,320
514,8.57,499,324
515,8.58,502,325
516,8.6,506,329
517,8.62,502,328
518,8.63,505,332
519,8.65,509,332
520,8.67,504,331
521,8.68,506,332
522,8.7,506,330
523,8.72,510,332
524,8.73,518,340
525,8.75,514,338
526,8.77,514,334
527,8.78,512,337
528,8.8,517,341
529,8.82,522,343
530,8.83,520,345
531,8.85,519,344
532,8.87,521,344
533,8.88,520,345
534,8.9,519,345
535,8.92,525,348
536,8.93,526,349
537,8.95,526,351
538,8.97,527,359
539,8.98,529,358
540,9,536,356
541,9.02,537,358
542,9.03,539,360
543,9.05,543,361
544,9.07,547,363
545,9.08,547,367
546,9.1,545,367
547,9.12,544,366
548,9.13,544,367
549,9.15,543,367
550,9.17,552,371
551,9.18,552,376
552,9.2,555,378
553,9.22,562,380
554,9.23,565,384
555,9.25,568,386
556,9.27,571,390
557,9.28,570,391
558,9.3,572,393
559,9.32,569,393
560,9.33,568,394
561,9.35,571,398
562,9.37,577,401
563,9.38,580,397
564,9.4,576,402
565,9.42,574,396
566,9.43,576,398
567,9.45,577,402
568,9.47,575,407
569,9.48,576,410
570,9.5,580,410
571,9.52,591,412
572,9.53,596,415
573,9.55,600,421
574,9.57,602,426
575,9.58,602,427
576,9.6,602,428
577,9.62,613,433
578,9.63,611,433
579,9.65,612,434
580,9.67,613,438
581,9.68,626,443
582,9.7,625,447
583,9.72,629,449
584,9.73,628,454
585,9.75,633,457
586,9.77,637,461
587,9.78,648,464
588,9.8,656,464
589,9.82,657,467
590,9.83,658,466
591,9.85,658,471
592,9.87,660,478
593,9.88,662,492
594,9.9,659,490
595,9.92,659,488
596,9.93,654,491
597,9.95,656,491
598,9.97,673,491
599,9.98,679,499
600,10,682,504
601,10.02,683,505
602,10.03,679,508
603,10.05,682,508
604,10.07,689,515
605,10.08,698,530
606,10.1,717,531
607,10.12,715,533
608,10.13,719,537
609,10.15,726,540
610,10.17,733,548
611,10.18,745,551
612,10.2,739,559
613,10.22,739,563
614,10.23,742,563
615,10.25,752,564
616,10.27,754,576
617,10.28,762,580
618,10.3,766,588
619,10.32,776,594
620,10.33,781,603
621,10.35,791,616
622,10.37,797,619
623,10.38,804,621
624,10.4,812,626
625,10.42,817,627
626,10.43,822,646
627,10.45,833,649
628,10.47,841,657
629,10.48,849,671
630,10.5,868,682
631,10.52,872,688
632,10.53,881,690
633,10.55,887,699
634,10.57,892,709
635,10.58,901,718
636,10.6,906,726
637,10.62,909,727
638,10.63,918,745
639,10.65,942,758
640,10.67,957,774
641,10.68,966,783
642,10.7,983,798
643,10.72,992,821
644,10.73,1024,840
645,10.75,1034,866
646,10.77,1051,877
647,10.78,1060,888
648,10.8,1074,905
649,10.82,1100,915
650,10.83,1117,944
651,10.85,1147,960
652,10.87,1168,981
653,10.88,1189,1000
654,10.9,1216,1026
655,10.92,1238,1076
656,10.93,1287,1100
657,10.95,1311,1125
658,10.97,1341,1148
659,10.98,1370,1177
660,11,1311,1238
661,11.02,1311,1268
662,11.03,1311,1297
663,11.05,1341,1329
664,11.07,1370,1370
665,11.08,1402,1402
666,11.10,1460,1460
667,11.12,1493,1493
668,11.13,1518,1518
